Year ,Site_id,Region,Site Type,PM10 Daily Measured,PM2.5 Daily Measured,PM10 Hourly Measured,PM2.5 Hourly Measured,NO2,SO2,O3,Total Days
2019,PRES,Preston,Urban Background,n/m,n/m,-,4,0,n/m,12,15
2019,REA5,Reading London Road,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2019,REA1,Reading New Town,Urban Background,n/m,n/m,-,-,-,n/m,-,-
2019,ECCL,Salford Eccles,Urban Background,n/m,n/m,7,4,0,n/m,n/m,8
2019,SASH,Saltash Callington Road,Urban Traffic,n/m,n/m,0,3,n/m,n/m,n/m,3
2019,SDY,Sandy Roadside,Urban Traffic,n/m,n/m,4,4,0,n/m,n/m,7
2019,SCN2,Scunthorpe Town,Urban Industrial,n/m,n/m,16,n/m,0,0,n/m,16
2019,SHDG,Sheffield Devonshire Green,Urban Background,n/m,n/m,6,12,0,n/m,-,12
2019,SA33,Southampton A33,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2019,SOUT,Southampton Centre,Urban Background,n/m,n/m,2,7,0,0,6,13
2019,SEND,Southend-on-Sea,Urban Background,n/m,n/m,-,13,0,n/m,13,21
2019,SK5,Southwark A2 Old Kent Road,Urban Traffic,n/m,n/m,14,n/m,1,n/m,n/m,15
2019,SHLW,St Helens Linkway,Urban Traffic,n/m,n/m,7,n/m,1,n/m,n/m,8
2019,HOPE,Stanford-le-Hope Roadside,Urban Traffic,n/m,n/m,7,11,0,n/m,n/m,13
2019,EAGL,Stockton-on-Tees Eaglescliffe,Urban Traffic,n/m,n/m,2,1,0,n/m,n/m,3
2019,STKR,Stoke-on-Trent A50 Roadside,Urban Traffic,n/m,n/m,11,n/m,1,n/m,n/m,12
2019,STOK,Stoke-on-Trent Centre,Urban Background,n/m,n/m,-,8,0,n/m,10,18
2019,SUN2,Sunderland Silksworth,Urban Background,n/m,n/m,-,2,0,n/m,13,14
2019,SWA1,Swansea Roadside,Urban Traffic,n/m,n/m,2,5,0,n/m,n/m,5
2019,THUR,Thurrock,Urban Background,n/m,n/m,12,n/m,0,0,-,12
2019,WAR,Warrington,Urban Industrial,n/m,n/m,5,-,0,n/m,n/m,5
2019,WIG5,Wigan Centre,Urban Background,n/m,n/m,-,8,0,n/m,12,20
2019,TRAN,Wirral Tranmere,Urban Background,n/m,n/m,-,7,0,n/m,12,19
2019,WREX,Wrexham,Urban Traffic,n/m,n/m,3,3,0,-,n/m,4
2019,YK10,York Bootham,Urban Background,n/m,n/m,0,5,0,n/m,n/m,5
2019,YK11,York Fishergate,Urban Traffic,n/m,n/m,8,-,0,n/m,n/m,8
2019,AH,Aston Hill,Rural Background,n/m,n/m,n/m,n/m,0,n/m,11,11
2019,ACTH,Auchencorth Moss,Rural Background,n/m,n/m,0,0,n/m,n/m,12,12
2019,BUSH,Bush Estate,Rural Background,n/m,n/m,n/m,n/m,0,n/m,-,0
2019,MACK,Charlton Mackrell,Rural Background,n/m,n/m,n/m,n/m,0,n/m,-,0
2019,CHBO,Chilbolton Observatory,Rural Background,n/m,n/m,1,5,0,0,27,31
2019,ESK,Eskdalemuir,Rural Background,n/m,n/m,n/m,n/m,0,n/m,-,0
2019,HM,High Muffles,Rural Background,n/m,n/m,n/m,n/m,0,n/m,38,38
2019,LB,Ladybower,Rural Background,n/m,n/m,n/m,n/m,0,-,17,17
2019,LERW,Lerwick,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,31,31
2019,LN,Lough Navar,Rural Background,n/m,n/m,0,1,n/m,n/m,8,9
2019,LH,Lullington Heath,Rural Background,n/m,n/m,n/m,n/m,0,0,19,19
2019,MKTH,Market Harborough,Rural Background,n/m,n/m,n/m,n/m,-,n/m,-,-
2019,PEMB,Narberth,Rural Background,n/m,n/m,0,1,0,0,9,10
2019,ROCH,Rochester Stoke,Rural Background,n/m,n/m,9,15,0,0,26,35
2019,SIB,Sibton,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,27,27
2019,OSY,St Osyth,Rural Background,n/m,n/m,n/m,n/m,0,n/m,18,18
2019,SV,Strathvaich,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,22,22
2019,WEYB,Weybourne,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,16,16
2019,WFEN,Wicken Fen,Rural Background,n/m,n/m,n/m,n/m,0,0,22,22
2019,YW,Yarner Wood,Rural Background,n/m,n/m,n/m,n/m,0,n/m,30,30
2020,ABD,Aberdeen,Urban Background,n/m,n/m,0,0,0,n/m,-,0
2020,ARM6,Armagh Roadside,Urban Traffic,n/m,n/m,2,n/m,0,n/m,n/m,2
2020,BPLE,Barnstaple A39,Urban Traffic,n/m,n/m,0,1,n/m,n/m,n/m,1
2020,BEL2,Belfast Centre,Urban Background,n/m,n/m,1,1,-,0,4,6
2020,BEL1,Belfast Stockman's Lane,Urban Traffic,n/m,n/m,0,n/m,0,n/m,n/m,0
2020,BIRR,Birmingham A4540 Roadside,Urban Traffic,n/m,n/m,2,2,0,n/m,13,15
2020,AGRN,Birmingham Acocks Green,Urban Background,n/m,n/m,2,3,-,n/m,-,3
2020,BMLD,Birmingham Ladywood,Urban Background,n/m,n/m,1,1,0,0,25,26
2020,BLC2,Blackpool Marton,Urban Background,n/m,n/m,0,1,0,n/m,18,19
2020,BRS8,Bristol St Paul's,Urban Background,n/m,n/m,2,2,0,n/m,33,36
2020,BR11,Bristol Temple Way,Urban Traffic,n/m,n/m,3,n/m,0,n/m,n/m,3
2020,BURW,Bury Whitefield Roadside,Urban Traffic,n/m,n/m,0,n/m,0,n/m,n/m,0
2020,CA1,Camden Kerbside,Urban Traffic,n/m,n/m,3,6,0,n/m,n/m,6
2020,CARD,Cardiff Centre,Urban Background,n/m,n/m,0,1,0,0,20,21
2020,CNPR,Cardiff Newport Road,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2020,CARL,Carlisle Roadside,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2020,CHAT,Chatham Roadside,Urban Traffic,n/m,n/m,7,7,0,n/m,n/m,9
2020,CHP,Chepstow A48,Urban Traffic,n/m,n/m,0,0,0,n/m,n/m,0
2020,CHLG,Chesterfield Loundsley Green,Urban Background,n/m,n/m,1,2,0,n/m,n/m,2
2020,CHS7,Chesterfield Roadside,Urban Traffic,n/m,n/m,2,3,0,n/m,n/m,3
2020,COAL,Coventry Allesley,Urban Background,n/m,n/m,0,1,0,n/m,28,29
