Year ,Region,Sum of AveragePrice,Sum of DetachedPrice,Sum of SemiDetachedPrice,Sum of FlatPrice,Sum of TerracedPrice,Sum of MortgagePrice,Sum of FTBPrice,Sum of FOOPrice,Sum of CashPrice,Sum of NewPrice,Sum of OldPrice
,Aberdeenshire,29795430.07,41912753.09,25839994.62,16733626.8,21514993.76,26062022.61,21869822.59,29254135.49,23856944.65,32721918.52,29115021.34
2010,Aberdeenshire,2127368.959,2948460.112,1838602.448,1266746.463,1550186.159,NAN,NAN,NAN,NAN,2218519.358,2118386.957
2011,Aberdeenshire,2157794.42,3003683.334,1860566.003,1276148.738,1565628.981,NAN,1702446.58,NAN,NAN,2331108.429,2140692.785
2012,Aberdeenshire,2095794.695,2914753.849,1813790.888,1224582.952,1528737.508,2135954.191,1662388.312,2396211.023,1964542.464,2246898.152,2080097.352
2013,Aberdeenshire,2149823.95,2990247.428,1863052.52,1244157.785,1571718.38,2195084.312,1705423.045,2461180.591,2014385.611,2326359.77,2133360.969
2014,Aberdeenshire,2313966.473,3241108.261,2000831.668,1317173.152,1679978.413,2363693.045,1829335.557,2653487.714,2165626.747,2538521.737,2294798.002
2015,Aberdeenshire,2401697.008,3370290.615,2082839.826,1356852.914,1737552.731,2453035.397,1900863.563,2752412.325,2248428.917,2630526.466,2382424.953
2016,Aberdeenshire,2347160.03,3302841.457,2033165.821,1321257.803,1691790.285,2397458.639,1857590.288,2689862.394,2196962.904,2596197.914,2326362.338
2017,Aberdeenshire,2299385.705,3239602.081,1982122.161,1312935.751,1643735.167,2347767.357,1819088.357,2635201.092,2154443.641,2578204.939,2280830.861
2018,Aberdeenshire,2269599.884,3197744.573,1969131.947,1276881.383,1628244.687,2317649.031,1797015.211,2598677.376,2125824.309,2572673.479,2246438.586
2019,Aberdeenshire,2212129.215,3105845.592,1931871.916,1235490.522,1595069.566,2258583.883,1756372.218,2526160.906,2072915.733,2511293.492,2188859.122
2020,Aberdeenshire,2132670.712,3017215.664,1860963.496,1158711.194,1535647.803,2180557.275,1687401.47,2443749.58,1990522.399,2427074.067,2109528.111
2021,Aberdeenshire,2277056.709,3248803.362,1979297.277,1202823.092,1637655.189,2328860.03,1793743.387,2618419.622,2123704.697,2629859.255,2247500.01
2022,Aberdeenshire,2408689.63,3463725.328,2097914.981,1234461.703,1720636.716,2465964.876,1887027.579,2782319.818,2240767.664,2859890.989,2368364.926
2023,Aberdeenshire,602292.6764,868431.4396,525843.6647,305403.3436,428412.1764,617414.5677,471127.0263,696453.045,558819.5599,254790.4695,197376.3676
,Adur,44477223.43,67995083.88,49694925.18,27973550.46,42719403.47,39800530.3,33449474.49,43711596.29,39215742.58,46611632.55,43695557.17
2010,Adur,2456980.319,3661948.31,2696622.584,1632695.598,2338606.946,NAN,NAN,NAN,NAN,2517372.314,2458144.172
2011,Adur,2422288.398,3635569.912,2665495.729,1596711.89,2303872.517,NAN,NAN,NAN,NAN,2543266.581,2421611.558
2012,Adur,2520903.728,3768641.505,2785997.928,1645000.233,2413107.379,2520697.456,2132061.496,2766776.122,2504573.223,2641170.766,2520581.494
2013,Adur,2577068.124,3862583.575,2853133.392,1660697.635,2477044.723,2585652.802,2185122.419,2835555.428,2563092.444,2731557.465,2575712.715
2014,Adur,2899484.983,4361856.17,3211766.928,1861405.602,2788614.184,2911067.158,2462586.427,3187155.938,2880539.595,3086294.118,2897884.533
2015,Adur,3170336.563,4806241.142,3517272.729,2024673.48,3040176.306,3182071.592,2689180.408,3487535.312,3151212.849,3360043.035,3168612.889
2016,Adur,3521116.171,5362294.594,3908777.913,2245929.704,3366345.003,3532452.076,2989133.935,3871616.771,3502634.639,3785249.722,3518689.335
2017,Adur,3695851.287,5635939.671,4090890.367,2381991.989,3507781.449,3706068.515,3140643.818,4060723.751,3679196.128,3980026.587,3692527.238
2018,Adur,3794660.294,5802671.412,4232119.408,2404769.882,3615723.664,3808530.685,3215121.037,4178101.151,3771001.241,4119713.339,3791893.037
2019,Adur,3767845.546,5783887.905,4223405.393,2362904.167,3595620.906,3784101.363,3184996.356,4156175.765,3739525.43,4112888.93,3765189.461
2020,Adur,3808018.913,5871920.827,4299399.358,2338692.259,3665227.948,3833002.503,3208256.883,4214235.701,3762524.944,4078775.087,3811471.985
2021,Adur,4128754.254,6442411.57,4680063.305,2480562.724,4009397.59,4163174.689,3465233.753,4586131.941,4063928.539,4376799.274,4134602.439
2022,Adur,4550817.53,7164677.544,5198678.726,2661988.7,4457558.949,4598327.653,3805923.258,5070269.35,4458356.079,4847012.337,4554982.741
2023,Adur,1163097.317,1834439.746,1331301.414,675526.5936,1140325.909,1175383.804,971214.7028,1297319.058,1139157.466,431462.9947,383653.5688
,Amber Valley,25672276.97,36899929.72,23062868.35,15709853.07,19283994.83,22769668.32,19541535.68,25041045.04,22078169.07,36510383.61,24750948.61
2010,Amber Valley,1597360.741,2265726.074,1428864.993,1039387.058,1220737.895,NAN,NAN,NAN,NAN,2150478.358,1575093.139
2011,Amber Valley,1546968.346,2211202.925,1380742.483,1007401.136,1173004.67,NAN,NAN,NAN,NAN,2158547.664,1522780.63
2012,Amber Valley,1561637.301,2221477.007,1398616.231,1007650.388,1187795.178,1582193.554,1361771.676,1738704.775,1537859.97,2164968.927,1538108.293
2013,Amber Valley,1605058.157,2285970.811,1436757.192,1025909.283,1220675.76,1621542.336,1393534.827,1781805.175,1573810.266,2244101.32,1579881.587
2014,Amber Valley,1690126.686,2408053.76,1515363.712,1069507.814,1283083.244,1706544.172,1469717.235,1874270.572,1659039.003,2374916.498,1662927.625
2015,Amber Valley,1769030.661,2530784.863,1587822.232,1113834.538,1334849.466,1785852.963,1536492.996,1963413.339,1737202.399,2491637.576,1740183.303
2016,Amber Valley,1851875.111,2655201.949,1662496.492,1157598.118,1394122.945,1868966.599,1608815.3,2055006.146,1819525.011,2637636.42,1820683.904
2017,Amber Valley,1942748.268,2797271.116,1742430.93,1229156.703,1454936.836,1961091.904,1686642.261,2156525.762,1908043.653,2809312.68,1908850.87
2018,Amber Valley,2043575.252,2945534.787,1836493.712,1264384.762,1529017.238,2062995.739,1771359.977,2271449.021,2006909.479,2978208.559,2009512.111
2019,Amber Valley,2103725.643,3030556.613,1896459.299,1284933.934,1569990.231,2125071.283,1825492.01,2336291.3,2063158.445,3105964.599,2065112.722
2020,Amber Valley,2196536.945,3163933.876,1982582.861,1308282.355,1639907.548,2219598.929,1904929.868,2440549.105,2152897.215,3255488.914,2157367.604
2021,Amber Valley,2418793.44,3507075.406,2176241.115,1383102.844,1801514.516,2446444.713,2091914.844,2694120.259,2365349.52,3647039.952,2369951.28
2022,Amber Valley,2635659.456,3840104.321,2377398.933,1437027.14,1951836.345,2670394.274,2278334.158,2937894.849,2565351.313,4102164.156,2571584.087
2023,Amber Valley,709180.9673,1037036.212,640598.1674,381676.9988,522522.9584,718971.8562,612530.5302,791014.7327,689022.7994,389917.9861,228911.4562
,Angus,22516378.28,36371602.38,23488816.55,13417400.12,17080111.65,20240251.38,17043041.45,22520422.68,17609441.52,30438707.45,21815951.85
2010,Angus,1585579.72,2491492.789,1625097.161,1001878.171,1204390.887,NAN,NAN,NAN,NAN,2008897.824,1565082.579
2011,Angus,1545570.783,2445352.635,1589785.29,968322.0928,1170467.826,NAN,1265758.87,NAN,NAN,2025771.942,1522546.451
2012,Angus,1539436.387,2436563.969,1590543.708,953504.1012,1171553.678,1598986.227,1261729.306,1777640.17,1406834.682,2002678.257,1516895.92
2013,Angus,1535855.569,2434632.163,1594290.131,940288.3029,1171741.454,1600081.425,1258373.947,1776034.241,1401480.362,2022283.673,1513263.74
2014,Angus,1615509.309,2586308.697,1674242.835,975844.9231,1230554.187,1686075.374,1317031.895,1873595.08,1468885.372,2170616.898,1590966.859
2015,Angus,1681442.367,2696372.479,1748675.57,1012535.425,1277330.638,1753121.774,1373554.406,1947601.182,1531969.08,2267002.946,1655777.003
2016,Angus,1678376.786,2705242.403,1745808.133,1003552.43,1272906.01,1750120.478,1369399,1945760.902,1528730.66,2288411.082,1651835.127
2017,Angus,1697953.293,2746207.772,1759622.305,1024090.554,1275528.83,1770518.533,1383304.757,1970340.149,1546626.784,2347678.274,1671894.869
2018,Angus,1725684.614,2789727.653,1802748.923,1028056.318,1303255.28,1799590.598,1407052.556,2000192.854,1572187.527,2391636.022,1698493.808
2019,Angus,1749247.935,2826229.843,1835846.411,1033011.467,1327386.957,1825636.022,1425932.563,2026727.806,1591051.924,2463004.746,1719195.152
2020,Angus,1764684.271,2882770.928,1862787.741,1021263.023,1338371.322,1845102.048,1432341.563,2055039.164,1599606.417,2500699.451,1733494.804
2021,Angus,1883440.082,3114690.601,1987366.447,1066835.213,1431466.028,1972398.851,1524051.164,2199703.791,1701736.223,2706083.12,1846815.346
2022,Angus,2012294.597,3370801.12,2137583.108,1113619.722,1526273.694,2111894.048,1621469.919,2359164.737,1810297.982,2976466.785,1964632.621
2023,Angus,501302.5642,845209.3293,534418.7827,274598.381,378884.8561,526725.9999,403041.5045,588622.6047,450034.5094,267476.4252,165057.5748
,Antrim and Newtownabbey,21204510.62,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2010,Antrim and Newtownabbey,1640740.718,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2011,Antrim and Newtownabbey,1453658.779,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2012,Antrim and Newtownabbey,1292410.062,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,Antrim and Newtownabbey,1253294.665,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,Antrim and Newtownabbey,1343309.618,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,Antrim and Newtownabbey,1436244.793,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2016,Antrim and Newtownabbey,1531824.707,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017,Antrim and Newtownabbey,1584591.65,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2018,Antrim and Newtownabbey,1647091.42,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2019,Antrim and Newtownabbey,1705678.343,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2020,Antrim and Newtownabbey,1772912.196,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2021,Antrim and Newtownabbey,1911168.368,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2022,Antrim and Newtownabbey,2099769.675,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2023,Antrim and Newtownabbey,531815.6295,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
,Ards and North Down,23903017.26,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2010,Ards and North Down,1947777.976,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2011,Ards and North Down,1690523.803,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2012,Ards and North Down,1509775.915,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,Ards and North Down,1458311.284,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,Ards and North Down,1554064.877,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,Ards and North Down,1650592.989,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2016,Ards and North Down,1702751.853,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017,Ards and North Down,1750904.908,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2018,Ards and North Down,1812193.96,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2019,Ards and North Down,1856026.45,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2020,Ards and North Down,1923962.431,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2021,Ards and North Down,2121815.827,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2022,Ards and North Down,2349245.32,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2023,Ards and North Down,575069.6673,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
,Argyll and Bute,22452535.89,34623751.12,22173690.08,14745916.78,17253645.67,19385490.59,16206671.88,22431883.75,19164761.11,22999794.75,22066884.86
2010,Argyll and Bute,1612282.426,2403481.346,1550711.382,1118502.636,1231430.288,NAN,NAN,NAN,NAN,1565662.139,1617309.642
2011,Argyll and Bute,1562723.266,2344443.503,1510397.77,1076509.969,1188824.886,NAN,1226100.338,NAN,NAN,1552215.295,1564656.853
2012,Argyll and Bute,1509851.26,2268667.246,1469120.479,1030871.972,1157898.921,1513062.704,1179898.472,1749682.55,1503347.711,1510503.313,1510960.23
2013,Argyll and Bute,1508038.815,2270398.838,1470915.248,1021113.468,1164909.678,1513191.354,1180496.85,1747219.047,1501829.725,1522236.712,1508712.426
2014,Argyll and Bute,1501909.005,2289941.887,1470353.512,997153.9956,1159062.228,1508916.597,1169105.194,1745179.037,1494199.197,1539420.093,1501763.168
2015,Argyll and Bute,1613591.102,2467989.262,1586167.555,1066578.448,1240671.047,1620134.343,1257990.924,1873408.461,1606186.418,1642887.413,1613297.142
2016,Argyll and Bute,1572857.152,2413356.681,1548143.587,1035654.545,1206124.687,1578750.994,1228016.789,1824472.555,1566128.182,1617588.873,1572376.44
2017,Argyll and Bute,1596655.328,2453182.29,1558209.546,1059709.061,1208736.747,1601208.465,1244869.557,1853285.415,1591538.905,1655943.653,1596316.002
2018,Argyll and Bute,1695801.051,2615494.517,1675608.703,1111048.034,1293266.294,1704084.035,1320648.747,1969059.847,1687415.412,1798092.032,1694705.54
2019,Argyll and Bute,1727171.745,2662485.33,1718048.605,1125651.014,1325541.878,1737586.787,1346738.599,2003032.024,1716792.89,1845121.243,1725846.008
2020,Argyll and Bute,1728735.886,2699007.871,1731786.561,1108166.76,1334515.58,1739939.18,1339671.248,2015881.029,1717844.32,1845657.66,1728791.194
2021,Argyll and Bute,1970110.341,3127611.931,1982171.219,1239229.29,1525975.242,1985301.096,1521130.315,2303643.366,1955602.648,2129435.97,1969280.409
2022,Argyll and Bute,2278244.386,3678099.108,2314859.668,1403403.332,1770406.465,2301438.316,1750408.908,2673086.127,2256173.782,2546165.195,2272025.441
2023,Argyll and Bute,574564.1307,929591.3167,587196.2485,352324.2547,446281.7315,581876.7225,441595.935,673934.2964,567701.916,228865.1641,190844.3674
,Armagh City Banbridge and Craigavon,18141812.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2010,Armagh City Banbridge and Craigavon,1399505.567,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2011,Armagh City Banbridge and Craigavon,1232323.708,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2012,Armagh City Banbridge and Craigavon,1076142.64,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2013,Armagh City Banbridge and Craigavon,1050516.868,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,Armagh City Banbridge and Craigavon,1134350.397,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,Armagh City Banbridge and Craigavon,1230652.753,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2016,Armagh City Banbridge and Craigavon,1322151.904,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2017,Armagh City Banbridge and Craigavon,1373868.246,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2018,Armagh City Banbridge and Craigavon,1409262.92,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2019,Armagh City Banbridge and Craigavon,1467166.43,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2020,Armagh City Banbridge and Craigavon,1516961.031,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2021,Armagh City Banbridge and Craigavon,1637062.335,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2022,Armagh City Banbridge and Craigavon,1827633.121,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2023,Armagh City Banbridge and Craigavon,464214.2766,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
,Arun,41285830.51,66117532.41,42527187.72,24416146.22,35028516.28,36367713.07,28936855.57,41075856.54,36490719.39,49080276.19,39956437.24
2010,Arun,2474931.385,3862194.966,2500173.908,1566720.818,2089877.973,NAN,NAN,NAN,NAN,2761292.294,2452230.674
2011,Arun,2378621.888,3743676.692,2405441.81,1487327.764,2003027.038,NAN,NAN,NAN,NAN,2742745.355,2352597.552
2012,Arun,2461850.736,3870611.359,2500173.895,1521995.554,2087723.021,2446161.413,1974333.196,2764254.062,2484313.263,2832372.346,2435434.113
2013,Arun,2528868.874,3985955.856,2577694.12,1541979.141,2151826.979,2513883.291,2021589.153,2837756.601,2544443.742,2943509.774,2499352.463
2014,Arun,2699149.542,4263499.91,2760305.824,1633625.386,2299486.212,2688182.549,2158405.37,3028313.834,2710693.267,3171803.173,2665478.228
2015,Arun,2918592.16,4638538.727,2989486.813,1754984.479,2476837.07,2906471.228,2328096.849,3278517.718,2931314.147,3437830.02,2881317.454
2016,Arun,3123098.39,4974602.112,3204524.34,1873418.435,2644544.682,3111202.564,2491829.796,3507789.892,3135581.319,3722041.777,3080380.436
2017,Arun,3281914.936,5226667.433,3355238.869,1992305.459,2755497.355,3267140.518,2623356.957,3681148.932,3297498.708,3951137.249,3236417.341
2018,Arun,3420749.354,5467672.333,3528131.129,2039863.798,2884471.511,3409991.624,2723969.835,3846147.508,3431919.665,4183673.431,3368243.737
2019,Arun,3390585.37,5443601.256,3508731.459,1996149.752,2862174.549,3381490.173,2693270.092,3818974.993,3399662.024,4172737.722,3336016.204
2020,Arun,3440449.108,5554846.27,3581329.508,1982509.07,2919048.679,3436771.54,2724095.055,3885557.917,3443765.132,4262619.627,3383764.776
2021,Arun,3810894.107,6225809.653,3972838.604,2137430.906,3252657.2,3815168.642,3003227.308,4321257.704,3803564.622,4812112.899,3739400.921
2022,Arun,4258492.332,7037947.879,4482265.688,2301288.366,3660119.43,4285001.833,3336525.114,4853320.874,4221969.213,5570488.138,4165362.131
2023,Arun,1097632.335,1821907.965,1160851.757,586547.2926,941224.5763,1106247.701,858156.8485,1252816.505,1085994.29,515912.3802,360441.212
,Ashfield,20844463.46,29358736.52,19188133.46,11727152.52,15854103.04,18616326.14,16306832.01,20057547.87,17619988.62,26610066.12,19954718.27
2010,Ashfield,1280497.43,1778412.42,1173432.583,774078.4445,989542.4848,NAN,NAN,NAN,NAN,1563344.622,1262987.984
2011,Ashfield,1246624.353,1743532.014,1140914.859,756579.8749,957012.9166,NAN,NAN,NAN,NAN,1570047.42,1220275.762
2012,Ashfield,1243387.611,1731444.71,1142777.22,735710.9003,956993.711,1252851.726,1103873.368,1349510.549,1195953.845,1554363.233,1219076.394
2013,Ashfield,1252991.924,1746621.052,1151274.252,731367.4611,964485.6062,1272447.445,1118747.493,1369935.728,1209696.604,1580291.314,1226020.384
2014,Ashfield,1364020.823,1903951.917,1254672.15,791999.5943,1047350.128,1384545.167,1218106.84,1491337.709,1318356.288,1728688.355,1333254.498
2015,Ashfield,1407095.23,1973505.602,1294217.038,812029.6828,1074303.714,1428263.651,1254043.764,1540664.044,1359932.538,1784021.078,1374141.68
2016,Ashfield,1512387.428,2128281.39,1389861.783,866549.983,1151791.022,1535186.631,1347414.317,1656388.81,1461582.966,1938728.578,1475192.307
2017,Ashfield,1589017.537,2245897.189,1459055.871,917268.9297,1203968.484,1613967.029,1414952.348,1740448.241,1533514.149,2060840.222,1547638.385
2018,Ashfield,1665100.35,2353694.997,1533804.004,941597.9743,1259101.305,1692558.845,1483417.384,1822874.682,1604157.715,2186262.613,1620615.617
2019,Ashfield,1712611.718,2419400.483,1581775.781,953274.7467,1292481.195,1741715.895,1525006.602,1875788.795,1647783.039,2247787.195,1666964.456
2020,Ashfield,1784728.579,2523564.304,1649195.497,971924.4838,1346923.788,1816666.034,1588968.983,1955098.358,1713467.695,2356459.412,1734563.976
2021,Ashfield,1987383.749,2822766.069,1831590.962,1048103.917,1501545.621,2024602.299,1766244.999,2181235.211,1903231.86,2667769.907,1928557.536
2022,Ashfield,2227354.883,3171189.705,2058072.492,1137856.827,1679298.67,2270768.082,1978960.121,2446214.481,2127698.376,3085680.74,2158505.737
2023,Ashfield,571261.8496,816474.6674,527488.9645,288809.6988,429304.3928,582753.3375,507095.7879,628051.257,544613.5432,285781.4294,186923.5606
,Ashford,41695053.09,65482580.17,40009210.17,23816823.48,33303583,36438317.03,30514753.34,41479054.23,38094882,47850434.36,40199068.11
2010,Ashford,2432556.044,3771021.779,2309283.165,1475579.63,1944793.357,NAN,NAN,NAN,NAN,2641966.936,2407921.519
2011,Ashford,2336941.343,3649207.126,2212222.282,1409675.666,1861097.934,NAN,NAN,NAN,NAN,2600498.858,2299805.775
2012,Ashford,2396284.151,3726788.815,2275509.581,1427802.305,1919335.72,2363412.46,1985766.642,2689220.102,2483608.67,2657764.376,2359722.087
2013,Ashford,2512486.658,3912797.418,2387427.219,1478989.491,2016091.04,2476209.789,2079316.665,2817066.571,2600148.966,2834044.306,2474433.106
2014,Ashford,2664788.641,4139137.285,2540892.423,1563047.689,2139922.729,2627296.69,2212993.093,2982262.157,2755026.872,3037905.252,2623714.035
2015,Ashford,2882451.526,4496682.021,2750518.743,1679267.985,2307572.679,2841181.801,2389208.067,3229165.504,2981734.309,3298234.244,2838038.102
2016,Ashford,3159759.601,4935602.832,3022679.599,1838184.909,2522387.269,3115219.586,2620184.68,3538865.412,3266869.23,3654789.127,3107416.196
2017,Ashford,3355480.85,5241567.599,3209415.826,1976424.338,2667317.444,3307953.083,2784559.152,3755091.371,3469865.033,3940374.423,3293389.673
2018,Ashford,3509022.482,5493818.392,3373922.702,2027116.006,2791744.468,3461571.219,2906070.497,3933099.965,3622783.554,4189760.775,3438582.602
2019,Ashford,3547142.528,5566055.458,3421383.491,2020973.642,2824423.349,3500079.074,2933894.149,3980082.608,3659687.236,4242022.547,3475759.416
2020,Ashford,3596602.707,5666651.582,3473716.347,2002637.695,2875087.644,3550660.037,2967870.146,4044001.034,3706056.224,4280255.831,3526668.553
2021,Ashford,3876463.925,6168360.842,3749724.958,2092655.749,3101382.058,3829034.35,3188198.17,4372131.026,3988417.389,4680353.296,3793300.495
2022,Ashford,4299600.889,6900470.579,4186955.742,2237263.16,3437743.279,4252235.907,3522954.497,4865712.134,4408135.356,5302242.047,4196276.985
2023,Ashford,1125471.744,1814418.445,1095558.091,587205.2166,894684.0256,1113463.036,923737.5878,1272356.349,1152549.161,490222.3442,364039.57
,Babergh,40500503.95,58363108.4,37488412.33,17927099.83,29941666.53,35326454.65,28299757.66,40137481.91,36519628.65,60041901.06,39409028.79
2010,Babergh,2313261.906,3274155.238,2134957.127,1099366.396,1743033.406,NAN,NAN,NAN,NAN,3271778.518,2301114.358
2011,Babergh,2350531.834,3347593.691,2167976.913,1097076.925,1755682.711,NAN,NAN,NAN,NAN,3435156.571,2331960.331
2012,Babergh,2405577.988,3423041.682,2222173.312,1112232.454,1797281.926,2377774.152,1916653.382,2696425.664,2464446.932,3478593.372,2388587.35
2013,Babergh,2412996.253,3436569.725,2230096.986,1098605.979,1804065.682,2377505.299,1914869.55,2693664.349,2459508.244,3529167.047,2392945.574
2014,Babergh,2603258.945,3707411.739,2406640.112,1184099.265,1945973.507,2565097.275,2070636.015,2903122.456,2653123.354,3838721.295,2579380.58
2015,Babergh,2816049.028,4030398.173,2602823.024,1269220.513,2093803.637,2774722.177,2232611.749,3145008.492,2870047.001,4132041.648,2789512.132
2016,Babergh,3073260.034,4406618.849,2841397.735,1388901.972,2277629.149,3027619.761,2436674.966,3432145.864,3132899.042,4566576.468,3043242.426
2017,Babergh,3293065.597,4744126.337,3035959.781,1500796.783,2424514.972,3244681.924,2607479.477,3679698.226,3356003.677,4996418.538,3258866.875
2018,Babergh,3416131.565,4928989.429,3162545.907,1527388.962,2512369.346,3365611.529,2699194.612,3821391.594,3481948.401,5236235.049,3380599.471
2019,Babergh,3423132.709,4945684.583,3175371.138,1507991.214,2514200.575,3370543.503,2701315.632,3831350.487,3492277.364,5266946.489,3386529.571
2020,Babergh,3452043.072,5000066.627,3205056.592,1485559.034,2541978.512,3402404.6,2718059.26,3870608.202,3516231.439,5289686.689,3420135.572
2021,Babergh,3730143.843,5448633.186,3457901.791,1558600.285,2736710.782,3677904.879,2926556.981,4193720.137,3797056.493,5787918.338,3688884.075
2022,Babergh,4171276.633,6135004.489,3878376.459,1682054.253,3040341.803,4116157.224,3262823.201,4698788.837,4239897.418,6624860.429,4106470.674
2023,Babergh,1039774.546,1534814.655,967135.4575,415205.8007,754080.5204,1026432.333,812882.8351,1171557.6,1056189.289,587800.6035,340799.7965
,Barking and Dagenham,39676071.76,71369955.8,50370688.47,30596532.3,42966497.19,35824987.07,33845552.29,38702435.97,35179255.8,50002828.03,38448928.87
2010,Barking and Dagenham,1998728.463,3404502.758,2460970.056,1607250.763,2142987.414,NAN,NAN,NAN,NAN,2536054.79,1972701.737
2011,Barking and Dagenham,1961581.731,3405743.94,2423110.021,1587185.638,2095922.939,NAN,NAN,NAN,NAN,2580053.041,1926505.376
2012,Barking and Dagenham,1990366.939,3454744.645,2470754.837,1572418.161,2143687,1999025.547,1893237.765,2153393.894,1970241.059,2529696.473,1964478.615
2013,Barking and Dagenham,2084803.499,3626879.831,2597474.721,1632113.299,2251324.786,2091053.691,1977486.362,2255431.372,2056408.803,2657670.3,2056345.395
2014,Barking and Dagenham,2414066.753,4230775.912,3025717.711,1886117.935,2605849.423,2421936.811,2290197.666,2610475.585,2377678.118,3072996.733,2380745.537
2015,Barking and Dagenham,2801521.289,4950657.462,3528989.854,2185673.155,3024144.043,2810150.04,2658343.839,3028276.952,2762001.775,3543985.466,2763585.44
2016,Barking and Dagenham,3287035.633,5874469.08,4160576.699,2566823.084,3543502.107,3296742.145,3118686.57,3553694.757,3242590.888,4197835.069,3240677.225
2017,Barking and Dagenham,3452816.608,6219967.588,4358157.055,2741881.785,3693327.457,3461140.83,3277534.834,3726638.257,3415396.624,4467570.149,3401589.71
2018,Barking and Dagenham,3542221.508,6424526.921,4493538.29,2772519.48,3809218.01,3550992.883,3358355.746,3832056.185,3502390.103,4636155.878,3488418.402
2019,Barking and Dagenham,3578485.228,6521867.649,4580568.245,2755344.495,3872803.087,3587603.216,3389016.922,3879667.192,3536930.664,4629916.381,3531917.977
2020,Barking and Dagenham,3610033.608,6583529.452,4642081.006,2739288.308,3928177.408,3619851.516,3417279.422,3918321.346,3562647.46,4631327.109,3564284.715
2021,Barking and Dagenham,3783980.149,6983598.126,4885030.918,2807995.157,4149109.047,3796482.635,3579828.449,4112231.658,3709909.667,4819507.992,3738079.87
2022,Barking and Dagenham,4127589.081,7736932.724,5384893.288,2979253.265,4559611.753,4143031.144,3899531.819,4498017.407,4027878.74,5230834.215,4073653.031
